Date,EURUSD,GBPUSD,GOLD,OIL
2025-01-02,0.26324,0.2534,0.24359,0.23977
2025-01-31,0.26303,0.25302,0.2439,0.24005
2025-02-28,0.26256,0.2531,0.24381,0.24053
2025-03-31,0.25931,0.25583,0.24421,0.24064
2025-04-30,0.25663,0.25985,0.24297,0.24054
2025-05-30,0.25584,0.26003,0.24312,0.24101
2025-06-30,0.25609,0.25983,0.24372,0.24036
2025-07-31,0.25556,0.25997,0.24404,0.24043
2025-08-29,0.25407,0.26151,0.24386,0.24056
2025-09-30,0.25368,0.26157,0.24397,0.24078
2025-10-31,0.25392,0.26201,0.24284,0.24123
2025-11-28,0.25479,0.26115,0.24292,0.24114
2025-12-31,0.25543,0.26088,0.24271,0.24098
2026-01-30,0.25671,0.26107,0.24131,0.24091
2026-02-27,0.25729,0.26164,0.24074,0.24033
2026-03-31,0.25915,0.26051,0.2405,0.23983
2026-04-30,0.25981,0.25903,0.24112,0.24004
2026-05-29,0.26069,0.25877,0.24076,0.23979
2026-06-29,0.26149,0.25865,0.24007,0.23978
