Date,EURUSD,GBPUSD,GOLD,OIL
2025-01-02,0.37256,0.17896,0.21688,0.2316
2025-01-31,0.25068,0.26115,0.24706,0.24112
2025-02-28,0.24004,0.2677,0.24936,0.2429
2025-03-31,0.25931,0.25583,0.24421,0.24064
2025-04-30,0.25663,0.25985,0.24297,0.24054
2025-05-30,0.25584,0.26003,0.24312,0.24101
2025-06-30,0.26859,0.27494,0.21454,0.24194
2025-07-31,0.26452,0.27118,0.22267,0.24162
2025-08-29,0.28618,0.30855,0.15975,0.24552
2025-09-30,0.25368,0.26157,0.24397,0.24078
2025-10-31,0.25392,0.26201,0.24284,0.24123
2025-11-28,0.25479,0.26115,0.24292,0.24114
2025-12-31,0.36424,0.01691,0.32588,0.29298
2026-01-30,0.36204,0.02681,0.31012,0.30104
2026-02-27,0.28194,0.1692,0.27752,0.27135
2026-03-31,0.27721,0.25726,0.23189,0.23363
2026-04-30,0.26155,0.23705,0.25344,0.24796
2026-05-29,0.27267,0.2304,0.25078,0.24616
2026-06-29,0.27533,0.25142,0.23651,0.23674
