Rebalance_Date,Asset,Last_Price,Forecast_Mean,Expected_Return,Confidence,Directional_HitRate,Forecast_Variance_Diagnostic,Signal
2025-01-02,EURUSD_Close,1.0352,1.0835,0.028015,0.1,0.6,0.002032,UP
2025-01-02,GBPUSD_Close,1.2519,1.2753,0.018669,0.0,0.5,0.001211,UP
2025-01-02,GOLD_Close,2658.8999,2633.4573,-0.009569,0.0,0.45,3593.812012,DOWN
2025-01-02,OIL_Close,73.13,75.5693,0.033355,0.0,0.45,9.916017,UP
2025-01-31,EURUSD_Close,1.0397,1.0402,0.00042,0.1,0.6,0.000339,UP
2025-01-31,GBPUSD_Close,1.2424,1.2495,0.005701,0.0,0.5,0.000644,UP
2025-01-31,GOLD_Close,2812.5,2858.448,0.016337,0.0,0.45,15204.506836,UP
2025-01-31,OIL_Close,72.53,80.6433,0.111861,0.0,0.45,24.822557,UP
2025-02-28,EURUSD_Close,1.0395,1.0369,-0.002548,0.1,0.6,0.000326,DOWN
2025-02-28,GBPUSD_Close,1.2599,1.2435,-0.013037,0.0,0.5,0.000502,DOWN
2025-02-28,GOLD_Close,2836.8,3122.7002,0.057443,0.0,0.45,30938.720703,UP
2025-02-28,OIL_Close,69.76,79.5229,0.139949,0.0,0.45,22.455896,UP
2025-03-31,EURUSD_Close,1.0824,1.0331,-0.028015,0.0,0.25,0.000261,DOWN
2025-03-31,GBPUSD_Close,1.2938,1.2369,-0.035286,0.0,0.5,0.00065,DOWN
2025-03-31,GOLD_Close,3122.8,3470.1394,0.057443,0.0,0.375,69410.179688,UP
2025-03-31,OIL_Close,71.48,75.5203,0.056523,0.0,0.5,27.810623,UP
2025-04-30,EURUSD_Close,1.1389,1.1858,0.028015,0.0,0.25,0.007785,UP
2025-04-30,GBPUSD_Close,1.3411,1.2954,-0.034058,0.0,0.5,0.002957,DOWN
2025-04-30,GOLD_Close,3305.0,3750.3467,0.057443,0.0,0.375,135543.359375,UP
2025-04-30,OIL_Close,58.21,67.3263,0.15661,0.0,0.5,35.537788,UP
2025-05-30,EURUSD_Close,1.1378,1.1313,-0.005727,0.0,0.25,0.002823,DOWN
2025-05-30,GBPUSD_Close,1.3499,1.283,-0.035286,0.0,0.5,0.001256,DOWN
2025-05-30,GOLD_Close,3288.8999,3760.4597,0.057443,0.0,0.375,92478.328125,UP
2025-05-30,OIL_Close,60.79,68.3314,0.124056,0.0,0.5,52.428352,UP
2025-06-30,EURUSD_Close,1.1727,1.1314,-0.028015,0.0,0.25,0.002974,DOWN
2025-06-30,GBPUSD_Close,1.372,1.3325,-0.028751,0.0,0.125,0.004203,DOWN
2025-06-30,GOLD_Close,3294.3999,3314.2957,0.006039,0.125,0.625,18298.535156,UP
2025-06-30,OIL_Close,65.11,79.3478,0.218673,0.0,0.375,78.763168,UP
2025-07-31,EURUSD_Close,1.1429,1.146,0.002672,0.0,0.25,0.003448,UP
2025-07-31,GBPUSD_Close,1.3258,1.3464,0.015563,0.0,0.125,0.00556,UP
2025-07-31,GOLD_Close,3293.2,3332.7749,0.012017,0.125,0.625,38187.460938,UP
2025-07-31,OIL_Close,69.26,74.202,0.071354,0.0,0.375,42.116207,UP
2025-08-29,EURUSD_Close,1.1682,1.1602,-0.006826,0.0,0.25,0.004605,DOWN
2025-08-29,GBPUSD_Close,1.3511,1.3525,0.001024,0.0,0.125,0.004068,UP
2025-08-29,GOLD_Close,3473.7,3343.8682,-0.037376,0.125,0.625,37339.433594,DOWN
2025-08-29,OIL_Close,64.01,66.5732,0.040043,0.0,0.375,6.445507,UP
2025-09-30,EURUSD_Close,1.1731,1.1656,-0.006446,0.0,0.5,0.000592,DOWN
2025-09-30,GBPUSD_Close,1.3437,1.3464,0.00202,0.0,0.375,0.00092,UP
2025-09-30,GOLD_Close,3840.8,4170.1021,0.057443,0.0,0.25,70625.382812,UP
2025-09-30,OIL_Close,62.37,65.8623,0.055993,0.0,0.25,3.186063,UP
2025-10-31,EURUSD_Close,1.1572,1.1646,0.006353,0.0,0.5,0.000571,UP
2025-10-31,GBPUSD_Close,1.3159,1.3406,0.018763,0.0,0.375,0.000847,UP
2025-10-31,GOLD_Close,3982.2,5022.7769,0.057443,0.0,0.25,233498.46875,UP
2025-10-31,OIL_Close,60.98,62.8869,0.03127,0.0,0.25,1.694503,UP
2025-11-28,EURUSD_Close,1.16,1.1606,0.000521,0.0,0.5,0.000627,UP
2025-11-28,GBPUSD_Close,1.3241,1.3274,0.002466,0.0,0.375,0.000701,UP
2025-11-28,GOLD_Close,4218.2998,4972.5942,0.057443,0.0,0.25,124144.023438,UP
2025-11-28,OIL_Close,58.55,65.0854,0.111622,0.0,0.25,6.891212,UP
2025-12-31,EURUSD_Close,1.1747,1.1533,-0.018263,0.25,0.75,0.000436,DOWN
2025-12-31,GBPUSD_Close,1.3467,1.3096,-0.027528,0.375,0.875,0.000572,DOWN
2025-12-31,GOLD_Close,4325.6001,4840.585,0.057443,0.0,0.5,61556.0,UP
2025-12-31,OIL_Close,57.42,66.0632,0.150526,0.0,0.375,9.168353,UP
2026-01-30,EURUSD_Close,1.1966,1.1558,-0.028015,0.25,0.75,0.000427,DOWN
2026-01-30,GBPUSD_Close,1.3806,1.3123,-0.035286,0.375,0.875,0.000663,DOWN
2026-01-30,GOLD_Close,4713.8999,5099.4839,0.057443,0.0,0.5,90269.109375,UP
2026-01-30,OIL_Close,65.21,65.7805,0.008749,0.0,0.375,8.241058,UP
2026-02-27,EURUSD_Close,1.1803,1.1588,-0.01821,0.25,0.75,0.000406,DOWN
2026-02-27,GBPUSD_Close,1.3491,1.3264,-0.016884,0.375,0.875,0.000597,DOWN
2026-02-27,GOLD_Close,5230.5,5602.9126,0.057443,0.0,0.5,104095.117188,UP
2026-02-27,OIL_Close,67.02,71.3052,0.063939,0.0,0.375,18.181639,UP
2026-03-31,EURUSD_Close,1.146,1.1677,0.018923,0.25,0.75,0.000847,UP
2026-03-31,GBPUSD_Close,1.3173,1.3409,0.017912,0.25,0.75,0.00109,UP
2026-03-31,GOLD_Close,4647.6001,4643.7563,-0.000827,0.0,0.5,924759.4375,DOWN
2026-03-31,OIL_Close,101.38,117.3371,0.157399,0.0,0.25,294.131805,UP
2026-04-30,EURUSD_Close,1.1685,1.1647,-0.003244,0.25,0.75,0.000676,DOWN
2026-04-30,GBPUSD_Close,1.3489,1.3435,-0.003965,0.25,0.75,0.000981,DOWN
2026-04-30,GOLD_Close,4614.7002,5420.2153,0.057443,0.0,0.5,111846.257812,UP
2026-04-30,OIL_Close,105.07,121.2073,0.153586,0.0,0.25,508.457458,UP
2026-05-29,EURUSD_Close,1.1653,1.1641,-0.001049,0.25,0.75,0.000805,DOWN
2026-05-29,GBPUSD_Close,1.3444,1.3401,-0.003223,0.25,0.75,0.001048,DOWN
2026-05-29,GOLD_Close,4560.5,5420.7534,0.057443,0.0,0.5,177426.25,UP
2026-05-29,OIL_Close,87.36,91.4086,0.046344,0.0,0.25,327.793091,UP
2026-06-29,EURUSD_Close,1.1386,1.1575,0.016662,0.125,0.625,0.000678,UP
2026-06-29,GBPUSD_Close,1.3197,1.338,0.01387,0.125,0.625,0.0009,UP
2026-06-29,GOLD_Close,4022.3,4503.5654,0.057443,0.0,0.375,21670.037109,UP
2026-06-29,OIL_Close,70.75,49.8945,-0.262273,0.0,0.375,276.827423,DOWN
