Date,EURUSD_Open,EURUSD_High,EURUSD_Low,EURUSD_Close,EURUSD_Volume,GBPUSD_Open,GBPUSD_High,GBPUSD_Low,GBPUSD_Close,GBPUSD_Volume,GOLD_Open,GOLD_High,GOLD_Low,GOLD_Close,GOLD_Volume,OIL_Open,OIL_High,OIL_Low,OIL_Close,OIL_Volume,FED_RATE,INFLATION,USD_INDEX,VIX,US10Y_YIELD,POLICY_EVENT,POLICY_TYPE,POLICY_DESCRIPTION,POLICY_SEVERITY,POLICY_ASSETS,POLICY_PERIOD,PERIOD
2018-01-02,1.2010858058929443,1.2080942392349243,1.200855016708374,1.2011579275131226,0.0,1.35111403465271,1.3596748113632202,1.3509314060211182,1.3511322736740112,0.0,1302.300048828125,1317.5999755859375,1302.300048828125,1313.699951171875,68.0,60.20000076293945,60.7400016784668,60.09999847412109,60.369998931884766,510313.0,1.41,248.859,109.6445,9.77,2.46,0,,,,,,TRAIN
2018-01-03,1.2061998844146729,1.2067092657089231,1.200494647026062,1.2063454389572144,0.0,1.3594529628753662,1.3614704608917236,1.3498737812042236,1.359619379043579,0.0,1320.0,1320.0999755859375,1312.0999755859375,1316.199951171875,42.0,60.38999938964844,61.970001220703125,60.27999877929688,61.630001068115234,673859.0,1.41,248.859,109.6751,9.15,2.44,0,,,,,,TRAIN
2018-01-04,1.2011290788650513,1.209189772605896,1.200494647026062,1.2010425329208374,0.0,1.3511687517166138,1.3561160564422607,1.3506578207015991,1.3511322736740112,0.0,1319.4000244140625,1322.0,1319.4000244140625,1319.4000244140625,2.0,61.959999084472656,62.209999084472656,61.59000015258789,62.0099983215332,654363.0,1.41,248.859,109.4777,9.22,2.46,0,,,,,,TRAIN
2018-01-05,1.2066218852996826,1.2084592580795288,1.202154278755188,1.2068840265274048,0.0,1.355380892753601,1.3580313920974731,1.3526674509048462,1.3552889823913574,0.0,1320.300048828125,1320.300048828125,1320.300048828125,1320.300048828125,1.0,61.900001525878906,62.040000915527344,61.09000015258789,61.43999862670898,563036.0,1.41,248.859,109.3496,9.22,2.47,0,,,,,,TRAIN
2018-01-08,1.203948974609375,1.2054002285003662,1.195971965789795,1.2037460803985596,0.0,1.3575520515441897,1.3585480451583862,1.3525760173797607,1.3575890064239502,0.0,1319.9000244140625,1319.9000244140625,1314.5999755859375,1318.5999755859375,41.0,61.61000061035156,61.970001220703125,61.34000015258789,61.72999954223633,616474.0,1.41,248.859,109.5681,9.52,2.49,0,,,,,,TRAIN
2018-01-09,1.1969597339630127,1.1975760459899902,1.1917957067489624,1.1970456838607788,0.0,1.3570178747177124,1.3585110902786257,1.3509862422943115,1.3571282625198364,0.0,1309.5999755859375,1311.699951171875,1309.5999755859375,1311.699951171875,16.0,61.91999816894531,63.47999954223633,61.79999923706055,62.959999084472656,844720.0,1.41,248.859,109.9025,10.08,2.55,0,,,,,,TRAIN
2018-01-10,1.1929330825805664,1.2016342878341677,1.1924494504928589,1.1929330825805664,0.0,1.353179931640625,1.356024146080017,1.3485267162322998,1.353234887123108,0.0,1320.300048828125,1320.699951171875,1315.300048828125,1317.4000244140625,70.0,63.40999984741211,63.66999816894531,63.09000015258789,63.56999969482422,697844.0,1.41,248.859,109.628,9.82,2.55,0,,,,,,TRAIN
2018-01-11,1.1954858303070068,1.2059234380722046,1.1931180953979492,1.195614457130432,0.0,1.3512965440750122,1.3555278778076172,1.3459312915802002,1.351278305053711,0.0,1317.0999755859375,1320.5999755859375,1316.300048828125,1320.5999755859375,9.0,63.5,64.7699966430664,63.43000030517578,63.79999923706055,876642.0,1.41,248.859,109.4888,9.88,2.54,0,,,,,,TRAIN
2018-01-12,1.2042099237442017,1.2156133651733398,1.2041373252868652,1.2042099237442017,0.0,1.354169487953186,1.3694878816604614,1.3540045022964478,1.3541878461837769,0.0,1327.800048828125,1338.199951171875,1327.800048828125,1333.4000244140625,14.0,63.56999969482422,64.5,63.060001373291016,64.30000305175781,678727.0,1.41,248.859,108.901,10.16,2.55,0,,,,,,TRAIN
2018-01-15,1.2193039655685425,1.229900360107422,1.21881365776062,1.2192296981811523,0.0,1.3731547594070437,1.3819599151611328,1.3731547594070437,1.3733056783676147,0.0,,,,,,,,,,,1.41,248.859,108.901,10.16,2.55,0,,,,,,TRAIN
