Date,EURUSD,GBPUSD,GOLD,OIL
2018-01-03,0.25,0.25,0.25,0.25
2018-01-31,0.25269,0.25071,0.24909,0.2475
2018-02-28,0.25666,0.25095,0.25226,0.24014
2018-03-29,0.25873,0.25025,0.24946,0.24156
2018-04-30,0.26107,0.2486,0.24946,0.24087
2018-05-31,0.25805,0.25102,0.25006,0.24087
2018-06-29,0.25423,0.25542,0.25009,0.24027
2018-07-31,0.25426,0.25444,0.25105,0.24025
2018-08-31,0.25332,0.2556,0.25098,0.2401
2018-09-28,0.25429,0.25382,0.25183,0.24007
2018-10-31,0.25563,0.25291,0.25112,0.24035
2018-11-30,0.25723,0.25107,0.25168,0.24002
2018-12-31,0.25746,0.25082,0.25233,0.23939
2019-01-31,0.25799,0.24988,0.25296,0.23916
2019-02-28,0.25853,0.24935,0.25292,0.2392
2019-03-29,0.25956,0.24826,0.2531,0.23907
2019-04-30,0.25896,0.24858,0.25336,0.2391
2019-05-31,0.25976,0.24808,0.25302,0.23914
2019-06-28,0.26312,0.24664,0.25138,0.23885
2019-07-31,0.26362,0.24702,0.25067,0.23869
2019-08-30,0.26464,0.24672,0.24996,0.23868
2019-09-30,0.26297,0.24879,0.24986,0.23837
2019-10-31,0.26372,0.24814,0.24987,0.23827
2019-11-29,0.26349,0.24901,0.24915,0.23835
2019-12-31,0.26363,0.24872,0.24896,0.23869
2020-01-31,0.26439,0.24915,0.24789,0.23857
2020-02-28,0.26514,0.24906,0.24718,0.23862
2020-03-31,0.26188,0.25287,0.24613,0.23912
2020-04-30,0.2618,0.25326,0.24635,0.23859
2020-05-29,0.26209,0.25316,0.24616,0.23859
2020-06-30,0.26212,0.2526,0.24666,0.23862
2020-07-31,0.26207,0.25285,0.2464,0.23868
2020-08-31,0.26218,0.25309,0.24603,0.2387
2020-09-30,0.2624,0.25321,0.24556,0.23882
2020-10-30,0.26229,0.25341,0.24552,0.23878
2020-11-30,0.26233,0.25322,0.24568,0.23877
2020-12-31,0.26214,0.25357,0.24553,0.23877
2021-01-29,0.26221,0.25374,0.24521,0.23884
2021-02-26,0.26217,0.25404,0.24495,0.23883
2021-03-31,0.25992,0.25488,0.24637,0.23884
2021-04-30,0.26224,0.2529,0.24514,0.23972
2021-05-28,0.26622,0.24971,0.2442,0.23986
2021-06-30,0.26585,0.25116,0.24303,0.23996
2021-07-30,0.26652,0.2504,0.24339,0.23968
2021-08-31,0.26686,0.25016,0.24376,0.23922
2021-09-30,0.26614,0.25053,0.24402,0.2393
2021-10-29,0.2649,0.2515,0.24409,0.23951
2021-11-30,0.26286,0.25364,0.24414,0.23936
2021-12-31,0.26259,0.25427,0.24389,0.23925
2022-01-31,0.26162,0.25482,0.24451,0.23906
2022-02-28,0.26046,0.25554,0.24501,0.23899
2022-03-31,0.25931,0.25742,0.24475,0.23852
2022-04-29,0.25932,0.25752,0.24488,0.23827
2022-05-31,0.25956,0.25652,0.24547,0.23845
2022-06-30,0.26122,0.25362,0.24676,0.2384
2022-07-29,0.26026,0.2548,0.24675,0.23818
2022-08-31,0.25998,0.25411,0.24766,0.23825
2022-09-30,0.26303,0.24888,0.2499,0.2382
2022-10-31,0.26404,0.24688,0.25086,0.23823
2022-11-30,0.26609,0.24387,0.25148,0.23857
2022-12-30,0.267,0.24346,0.25087,0.23867
2023-01-31,0.26653,0.24323,0.25182,0.23842
2023-02-28,0.26715,0.24233,0.25206,0.23846
2023-03-31,0.26945,0.23998,0.25099,0.23958
2023-04-28,0.26924,0.23996,0.25093,0.23987
2023-05-31,0.26992,0.23967,0.25057,0.23984
2023-06-30,0.26889,0.24068,0.25078,0.23965
2023-07-31,0.27021,0.23893,0.25067,0.24018
2023-08-31,0.27029,0.23919,0.25011,0.2404
2023-09-29,0.26745,0.24213,0.24938,0.24104
2023-10-31,0.26532,0.24576,0.24827,0.24065
2023-11-30,0.26367,0.24855,0.24782,0.23997
2023-12-29,0.25991,0.25163,0.24848,0.23998
2024-01-31,0.26117,0.25148,0.24703,0.24032
2024-02-29,0.25882,0.25379,0.24705,0.24034
2024-03-28,0.25954,0.25297,0.24756,0.23993
2024-04-30,0.26082,0.252,0.24731,0.23987
2024-05-31,0.26094,0.25267,0.2466,0.23979
2024-06-28,0.26037,0.2537,0.24575,0.24019
2024-07-31,0.26087,0.2547,0.24438,0.24005
2024-08-30,0.26199,0.25338,0.24488,0.23975
2024-09-30,0.26416,0.25124,0.24526,0.23933
2024-10-31,0.26573,0.25031,0.24483,0.23913
2024-11-29,0.26294,0.25343,0.24432,0.23932
2024-12-31,0.26327,0.25342,0.24357,0.23974
