Date,EURUSD,GBPUSD,GOLD,OIL
2025-01-02,0.5711,0.16798,0.16359,0.09732
2025-01-31,0.18028,0.27624,0.21741,0.32607
2025-02-28,0.30909,0.01934,0.41001,0.26157
2025-03-31,0.07514,0.0,0.66949,0.25537
2025-04-30,0.5163,0.0,0.4213,0.0624
2025-05-30,0.30896,0.24265,0.36855,0.07983
2025-06-30,0.15991,0.23599,0.32183,0.28226
2025-07-31,0.45582,0.19518,0.24801,0.10099
2025-08-29,0.45469,0.16413,0.252,0.12918
2025-09-30,0.07485,0.48806,0.27358,0.16351
2025-10-31,0.05935,0.43312,0.33949,0.16804
2025-11-28,0.16839,0.12994,0.47293,0.22874
2025-12-31,0.30135,0.06617,0.34828,0.2842
2026-01-30,0.29515,0.1149,0.34123,0.24872
2026-02-27,0.2088,0.21905,0.30979,0.26236
2026-03-31,0.30413,0.28135,0.17781,0.23671
2026-04-30,0.26346,0.23502,0.25528,0.24623
2026-05-29,0.29034,0.25592,0.27538,0.17836
2026-06-29,0.29398,0.25388,0.24124,0.2109
