round,lambda,reward,avg_cost,cvar_violations,dd_violations,mean_abs_action
-1,0.0,0.6183268661767364,0.007985639123246867,669,126,0.12893293797969818
0,0.08028715417024487,0.6365279624183741,0.008528715417024487,672,125,0.1287698894739151
1,0.13166440751665767,0.6028392272253728,0.00563772533464128,439,62,0.11725547909736633
2,0.18120498323804102,0.5722642514205811,0.005454057572138337,381,65,0.11925699561834335
3,0.19902517654026428,0.5261194096975962,0.0022820193302223258,178,33,0.08534540235996246
4,0.2019312848443023,0.5441869509865263,0.0007906108304038034,95,7,0.14559602737426758
5,0.2022460204514604,0.4751461014395413,0.0005314735607158083,86,2,0.12949149310588837
6,0.20094171175832018,0.39379416430910247,0.00036956913068597857,64,2,0.13213180005550385
7,0.19963437231798536,0.39207783575231037,0.0003692660559665174,64,2,0.13588771224021912
8,0.19761834203042092,0.35447971073171775,0.0002983969712435555,63,2,0.14852146804332733
9,0.19684394887584364,0.4070231205731063,0.0004225606845422717,68,2,0.1285950094461441
10,0.19615844519164694,0.41492123238727335,0.00043144963158032855,73,2,0.12435007095336914
11,0.19588847589158695,0.4561375807681855,0.0004730030699940023,83,2,0.12208057940006256
12,0.19473354217242522,0.3893562066520185,0.00038450662808382687,64,2,0.13911479711532593
13,0.19415725916773172,0.4154563788782779,0.00044237169953064836,73,2,0.12598125636577606
14,0.1939873730273096,0.45610130724155884,0.00048301138595778774,83,2,0.12276642769575119
